t,share,adr10,premium,f_skhx,f_skhy,price_pnl,funding_pnl,total_pnl,drawdown
1784642400000,1293.000000,1664.700000,0.287471,0.000279,-0.000037,108.800000,-1.416589,107.383411,59.104673
1784646000000,1288.600000,1647.000000,0.278131,0.000233,-0.000055,122.100000,-1.806389,120.293611,46.194473
1784649600000,1309.800000,1677.700000,0.280883,0.000247,-0.000049,112.600000,-2.212042,110.387958,56.100126
1784653200000,1322.400000,1712.100000,0.294691,0.000248,-0.000037,90.800000,-2.602388,88.197612,78.290472
1784656800000,1314.100000,1704.500000,0.297085,0.000224,-0.000053,90.100000,-2.986878,87.113122,79.374963
1784660400000,1321.300000,1717.200000,0.299629,0.000049,-0.000035,84.600000,-3.112238,81.487762,85.000323
1784664000000,1340.500000,1730.600000,0.291011,0.000006,-0.000049,90.400000,-3.205207,87.194793,79.293291
1784667600000,1335.400000,1727.100000,0.293320,0.000214,-0.000081,88.800000,-3.629954,85.170046,81.318039
1784671200000,1333.000000,1727.800000,0.296174,0.000281,-0.000092,85.700000,-4.164091,81.535909,84.952175
1784674800000,1334.000000,1729.300000,0.296327,-0.000135,-0.000083,85.200000,-4.127800,81.072200,85.415885
1784678400000,1337.200000,1735.700000,0.298011,0.000196,-0.000095,82.000000,-4.554261,77.445739,89.042345
1784682000000,1341.800000,1722.900000,0.284021,-0.000009,-0.000063,99.400000,-4.651703,94.748297,71.739787
1784685600000,1321.300000,1693.700000,0.281844,-0.000015,-0.000029,108.100000,-4.680511,103.419489,63.068595
1784689200000,1312.800000,1687.500000,0.285420,0.000006,-0.000024,105.800000,-4.729667,101.070333,65.417751
1784692800000,1303.000000,1676.100000,0.286339,0.000010,-0.000003,107.400000,-4.748291,102.651709,63.836376
1784696400000,1260.300000,1637.300000,0.299135,0.000025,-0.000035,103.500000,-4.836535,98.663465,67.824619
1784700000000,1254.400000,1635.400000,0.303731,0.000065,0.000005,99.500000,-4.909778,94.590222,71.897862
1784703600000,1246.700000,1624.100000,0.302719,0.000101,-0.000013,103.100000,-5.055920,98.044080,68.444004
1784707200000,1239.300000,1615.400000,0.303478,0.000069,-0.000014,104.400000,-5.164558,99.235442,67.252643
1784710800000,1242.900000,1621.500000,0.304610,0.000006,-0.000049,101.900000,-5.251263,96.648737,69.839347
1784714400000,1242.100000,1619.900000,0.304162,0.000067,-0.000037,102.700000,-5.394226,97.305774,69.182310
1784718000000,1232.400000,1607.100000,0.304041,0.000156,-0.000041,105.800000,-5.653609,100.146391,66.341693
1784721600000,1227.200000,1599.400000,0.303292,-0.000020,-0.000034,108.300000,-5.683144,102.616856,63.871229
1784725200000,1268.500000,1685.600000,0.328814,-0.000089,-0.000026,63.400000,-5.613212,57.786788,108.701296
1784728800000,1259.400000,1669.800000,0.325869,0.000432,-0.000059,70.100000,-6.255779,63.844221,102.643863
1784732400000,1269.700000,1689.700000,0.330787,0.000246,-0.000070,60.500000,-6.685786,53.814214,112.673870
1784736000000,1273.200000,1678.800000,0.318567,0.000172,-0.000039,74.900000,-6.969851,67.930149,98.557935
1784739600000,1260.700000,1659.900000,0.316649,0.000119,-0.000042,81.300000,-7.190180,74.109820,92.378264
1784743200000,1264.700000,1665.600000,0.316992,-0.000099,-0.000030,79.600000,-7.115647,72.484353,94.003732
1784746800000,1257.700000,1652.500000,0.313906,-0.000096,-0.000029,85.700000,-7.043449,78.656551,87.831533
1784750400000,1287.000000,1680.300000,0.305594,0.000006,-0.000038,87.200000,-7.116013,80.083987,86.404097
1784754000000,1297.500000,1699.600000,0.309904,0.000416,-0.000022,78.400000,-7.693587,70.706413,95.781671
1784757600000,1279.200000,1680.500000,0.313712,0.000447,-0.000037,79.200000,-8.328574,70.871426,95.616658
1784761200000,1295.300000,1695.900000,0.309272,-0.000284,-0.000026,79.900000,-8.003810,71.896190,94.591894
1784764800000,1310.900000,1717.600000,0.310245,0.000230,-0.000034,73.800000,-8.364158,65.435842,101.052242
1784768400000,1275.500000,1674.900000,0.313132,0.000065,-0.000032,81.100000,-8.500477,72.599523,93.888561
1784772000000,1284.700000,1677.600000,0.305830,0.000006,0.000002,87.600000,-8.505662,79.094338,87.393746
1784775600000,1294.600000,1691.100000,0.306272,0.000006,0.000006,84.000000,-8.503183,75.496817,90.991268
1784779200000,1305.400000,1701.800000,0.303662,-0.000043,0.000006,84.100000,-8.435906,75.664094,90.823990
1784782800000,1293.100000,1695.500000,0.311190,-0.000067,0.000006,78.100000,-8.338189,69.761811,96.726273
1784786400000,1305.800000,1704.800000,0.305560,-0.000060,0.000006,81.500000,-8.248827,73.251173,93.236911
1784790000000,1300.000000,1727.600000,0.328923,-0.000005,0.000006,52.900000,-8.231690,44.668310,121.819775
1784793600000,1318.600000,1766.800000,0.339906,-0.000049,0.000006,32.300000,-8.155838,24.144162,142.343923
1784797200000,1318.400000,1760.100000,0.335027,-0.000043,-0.000009,38.800000,-8.115333,30.684667,135.803418
1784800800000,1320.000000,1763.200000,0.335758,0.000070,-0.000023,37.300000,-8.248264,29.051736,137.436348
1784804400000,1291.500000,1732.900000,0.341773,-0.000068,-0.000037,39.100000,-8.224318,30.875682,135.612403
1784808000000,1273.900000,1705.800000,0.339038,-0.000587,-0.000017,48.600000,-7.505723,41.094277,125.393807
1784811600000,1282.200000,1730.900000,0.349945,-0.000490,-0.000014,31.800000,-6.901161,24.898839,141.589246
1784815200000,1280.900000,1728.200000,0.349208,0.000049,-0.000017,33.200000,-6.993098,26.206902,140.281182
